Start,Duration,CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Throughput,SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
1.96338s,189.728 μs,2671,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
1.96357s,2.998 ms,2680,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
1.96657s,2.342 ms,2690,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
1.96892s,189.697 μs,2697,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
1.96911s,2.998 ms,2706,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
1.97212s,1.339 ms,2717,-,-,-,-,-,-,-,-,-,64.00 MiB,46.63 GiB/s,Device,Pinned,NVIDIA H20 (0),1,-,18,[CUDA memcpy Device-to-Host]
2.47356s,1.212 ms,2724,-,-,-,-,-,-,-,-,-,64.00 MiB,51.56 GiB/s,Pinned,Device,NVIDIA H20 (0),1,-,16,[CUDA memcpy Host-to-Device]
2.47477s,1.211 ms,2728,-,-,-,-,-,-,-,-,-,64.00 MiB,51.56 GiB/s,Pinned,Device,NVIDIA H20 (0),1,-,16,[CUDA memcpy Host-to-Device]
2.47477s,2.339 ms,2741,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.47599s,1.212 ms,2788,-,-,-,-,-,-,-,-,-,64.00 MiB,51.56 GiB/s,Pinned,Device,NVIDIA H20 (0),1,-,16,[CUDA memcpy Host-to-Device]
2.47711s,190.465 μs,2748,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.47721s,1.213 ms,2853,-,-,-,-,-,-,-,-,-,64.00 MiB,51.50 GiB/s,Pinned,Device,NVIDIA H20 (0),1,-,16,[CUDA memcpy Host-to-Device]
2.47731s,3.002 ms,2757,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.47842s,1.213 ms,2918,-,-,-,-,-,-,-,-,-,64.00 MiB,51.50 GiB/s,Pinned,Device,NVIDIA H20 (0),1,-,16,[CUDA memcpy Host-to-Device]
2.47964s,1.212 ms,2983,-,-,-,-,-,-,-,-,-,64.00 MiB,51.50 GiB/s,Pinned,Device,NVIDIA H20 (0),1,-,16,[CUDA memcpy Host-to-Device]
