Start,Duration,CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Throughput,SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
2.53267s,2.998 ms,3077,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.53567s,2.341 ms,3087,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.53802s,189.760 μs,3094,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.53821s,2.998 ms,3103,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.54121s,2.340 ms,3126,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.54121s,1.367 ms,3174,-,-,-,-,-,-,-,-,-,64.00 MiB,45.69 GiB/s,Device,Pinned,NVIDIA H20 (0),1,-,18,[CUDA memcpy Device-to-Host]
2.54355s,189.761 μs,3133,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.54374s,2.997 ms,3142,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.54674s,2.340 ms,3152,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.54908s,189.537 μs,3159,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.54927s,2.998 ms,3168,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.55228s,2.340 ms,3191,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.55228s,1.399 ms,3239,-,-,-,-,-,-,-,-,-,64.00 MiB,44.63 GiB/s,Device,Pinned,NVIDIA H20 (0),1,-,18,[CUDA memcpy Device-to-Host]
2.55462s,189.857 μs,3198,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.55481s,2.997 ms,3207,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.55781s,2.341 ms,3217,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.56015s,189.697 μs,3224,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.56034s,2.998 ms,3233,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.56334s,2.340 ms,3256,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.56335s,1.396 ms,3304,-,-,-,-,-,-,-,-,-,64.00 MiB,44.75 GiB/s,Device,Pinned,NVIDIA H20 (0),1,-,18,[CUDA memcpy Device-to-Host]
2.56568s,189.825 μs,3263,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.56588s,2.999 ms,3272,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.56888s,2.340 ms,3282,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.57122s,189.280 μs,3289,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
2.57141s,2.998 ms,3298,128,32,1,128,1,1,118,0 B,15.38 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x32x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.57441s,2.341 ms,3321,128,16,1,128,1,1,255,0 B,33.00 KiB,-,-,-,-,NVIDIA H20 (0),1,-,17,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
2.57441s,1.358 ms,3369,-,-,-,-,-,-,-,-,-,64.00 MiB,46.00 GiB/s,Device,Pinned,NVIDIA H20 (0),1,-,18,[CUDA memcpy Device-to-Host]
2.57675s,190.081 μs,3328,262144,1,1,128,1,1,22,0 B,0 B,-,-,-,-,NVIDIA H20 (0),1,-,17,cupy_tanh__float32_float32
